"No.","Time","Source","Destination","Protocol","Length","Info"
"145","5.528376","192.168.1.9","192.168.1.1","TCP","64","8080  >  43939 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"146","5.528377","192.168.1.1","192.168.1.9","TCP","66","[TCP ACKed unseen segment] 43939  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=382189998 TSecr=2850184158"
"147","5.633713","209.206.49.216","192.168.1.87","TLSv1.2","136","Application Data"
"148","5.635639","192.168.1.87","209.206.49.216","TLSv1.2","265","Application Data"
"149","5.645006","Dell_ca:76:8b","Broadcast","ARP","64","Who has 192.168.1.156? Tell 192.168.1.217"
"150","5.710741","158.115.141.166","192.168.1.87","SIGCOMP","153","Msg format 1[Malformed Packet]"
"151","5.711350","209.206.49.216","192.168.1.87","TCP","66","30001  >  51744 [ACK] Seq=71 Ack=196 Win=770 Len=0 TSval=2826137124 TSecr=382179426"
"152","5.713286","192.168.1.87","158.115.141.166","SIGCOMP","166","Msg format 1[Malformed Packet]"
"153","5.759165","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.6? Tell 192.168.1.81"
"154","6.012981","158.115.141.166","192.168.1.87","SIGCOMP","160","Msg format 1[Malformed Packet]"
"155","6.014988","192.168.1.87","158.115.141.166","SIGCOMP","166","Msg format 1[Malformed Packet]"
"156","6.175874","192.168.1.172","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"157","6.176592","192.168.1.172","224.0.0.251","MDNS","327","Standard query response 0x0000 PTR SilentSiggo::ACICSMOHAM2._oculusal_sp._tcp.local SRV 0 0 49730 ACICSMOHAM2.local TXT A 192.168.1.172 NSEC ACICSMOHAM2.local"
"158","6.181994","192.168.1.102","239.255.255.250","SSDP","221","M-SEARCH * HTTP/1.1 "
"159","6.288700","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"160","6.305269","192.168.1.9","142.251.35.163","UDP","160","49313  >  443 Len=114"
"161","6.312389","142.251.35.163","192.168.1.9","UDP","70","443  >  49313 Len=28"
"162","6.323984","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"163","6.326803","142.251.35.163","192.168.1.9","UDP","158","443  >  49313 Len=116"
"164","6.326803","142.251.35.163","192.168.1.9","UDP","65","443  >  49313 Len=23"
"165","6.327154","192.168.1.9","142.251.35.163","UDP","82","49313  >  443 Len=36"
"166","6.329152","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"167","6.335936","142.251.35.163","192.168.1.9","UDP","67","443  >  49313 Len=25"
"168","6.719534","192.168.1.11","173.194.194.206","TCP","64","40592  >  443 [ACK] Seq=1 Ack=1 Win=5435 Len=0"
"169","6.749271","173.194.194.206","192.168.1.11","TCP","60","[TCP ACKed unseen segment] 443  >  40592 [ACK] Seq=1 Ack=2 Win=288 Len=0"
"170","6.824971","192.168.1.9","142.251.35.163","UDP","159","49313  >  443 Len=113"
"171","6.825643","192.168.1.81","3.33.190.236","TLSv1.2","1165","Application Data"
"172","6.831947","142.251.35.163","192.168.1.9","UDP","70","443  >  49313 Len=28"
"173","6.834138","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"174","6.845680","192.168.1.172","239.255.255.250","UDP","843","49667  >  3705 Len=797"
"175","6.848090","142.251.35.163","192.168.1.9","UDP","158","443  >  49313 Len=116"
"176","6.848090","192.168.1.9","142.251.35.163","UDP","82","49313  >  443 Len=36"
"177","6.848493","142.251.35.163","192.168.1.9","UDP","65","443  >  49313 Len=23"
"178","6.856834","142.251.35.163","192.168.1.9","UDP","67","443  >  49313 Len=25"
"179","6.857012","192.168.1.9","142.251.35.163","UDP","78","49313  >  443 Len=32"
"180","6.864489","3.33.190.236","192.168.1.81","TLSv1.2","625","Application Data"
"181","6.864593","192.168.1.81","3.33.190.236","TCP","70","37554  >  443 [ACK] Seq=2191 Ack=1119 Win=501 Len=0 TSval=133210179 TSecr=79444510"
"182","6.938441","192.168.1.172","162.254.193.102","TLSv1.2","117","Application Data"
"183","7.009431","162.254.193.102","192.168.1.172","TCP","60","27030  >  50660 [ACK] Seq=1 Ack=60 Win=1023 Len=0"
"184","7.191547","192.168.1.102","239.255.255.250","SSDP","221","M-SEARCH * HTTP/1.1 "
"185","7.289032","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"186","7.328813","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031"
"187","7.709449","13.226.34.109","192.168.1.9","TLSv1.2","90","Application Data"
"188","7.709449","13.226.34.109","192.168.1.9","TCP","66","443  >  65275 [FIN, ACK] Seq=25 Ack=1 Win=133 Len=0 TSval=2802011320 TSecr=3559858842"
"189","7.709449","192.168.1.9","13.226.34.109","TCP","64","65275  >  443 [RST] Seq=1 Win=0 Len=0"
"190","7.709449","192.168.1.9","13.226.34.109","TCP","64","65275  >  443 [RST] Seq=1 Win=0 Len=0"
"191","7.863021","209.206.49.216","192.168.1.87","TLSv1.2","136","Application Data"
"192","7.867559","192.168.1.87","209.206.49.216","TLSv1.2","265","Application Data"
"193","7.942769","209.206.49.216","192.168.1.87","TCP","66","30001  >  47566 [ACK] Seq=71 Ack=196 Win=1232 Len=0 TSval=2826139356 TSecr=382179649"
"194","8.142457","fe80::b927:d99d:bc8e:8535","ff02::2","ICMPv6","62","Router Solicitation"
"195","8.206175","192.168.1.102","239.255.255.250","SSDP","221","M-SEARCH * HTTP/1.1 "
"196","8.289487","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"197","8.378352","192.168.1.211","192.168.1.1","DNS","93","Standard query 0xce7c AAAA connectivity-check.ubuntu.com"
"198","8.382872","192.168.1.9","192.168.1.1","TCP","64","8080  >  43943 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"199","8.382873","192.168.1.1","192.168.1.9","TCP","66","[TCP ACKed unseen segment] 43943  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=382190283 TSecr=3701032384"
"200","8.386333","192.168.1.1","192.168.1.211","DNS","257","Standard query response 0xce7c AAAA connectivity-check.ubuntu.com AAAA 2620:2d:4000:1::2b AAAA 2620:2d:4000:1::2a AAAA 2001:67c:1562::24 AAAA 2620:2d:4000:1::22 AAAA 2001:67c:1562::23 AAAA 2620:2d:4000:1::23"
"201","8.390711","192.168.1.9","142.251.41.14","UDP","75","58693  >  443 Len=29"
"202","8.395539","142.251.41.14","192.168.1.9","UDP","67","443  >  58693 Len=25"
"203","8.398659","192.168.1.87","158.115.141.166","SIGCOMP","158","Msg format 1[Malformed Packet]"
"204","8.398660","192.168.1.87","158.115.133.213","SIGCOMP","158","Msg format 1[Malformed Packet]"
"205","8.416996","158.115.141.166","192.168.1.87","SIGCOMP","88","Msg format 1[Malformed Packet]"
"206","8.421725","52.23.140.126","192.168.1.81","SSL","98","Continuation Data"
"207","8.463119","192.168.1.81","52.23.140.126","TCP","70","42044  >  443 [ACK] Seq=4920 Ack=3479 Win=501 Len=0 TSval=3384344655 TSecr=2363427146"
"208","8.490018","158.115.133.213","192.168.1.87","SIGCOMP","88","Msg format 1[Malformed Packet]"
"209","8.602270","192.168.1.1","192.168.1.9","TCP","66","43935  >  8080 [FIN, ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=382190305 TSecr=4160970658"
"210","8.602270","192.168.1.1","192.168.1.9","TCP","74","43945  >  8080 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM TSval=382190305 TSecr=0 WS=128"
"211","8.602270","192.168.1.9","192.168.1.1","TCP","70","[TCP Previous segment not captured] 8080  >  43935 [ACK] Seq=2 Ack=2 Win=2048 Len=0 TSval=4161232591 TSecr=382190305"
"212","8.602522","192.168.1.9","192.168.1.1","TCP","82","8080  >  43945 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=3447220835 TSecr=382190305 SACK_PERM"
"213","8.602522","192.168.1.1","192.168.1.9","TCP","66","43945  >  8080 [ACK] Seq=1 Ack=1 Win=14720 Len=0 TSval=382190305 TSecr=3447220835"
"214","8.602522","192.168.1.9","192.168.1.1","TCP","70","[TCP Window Update] 8080  >  43945 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3447220835 TSecr=382190305"
"215","8.602865","192.168.1.1","192.168.1.9","TCP","244","43945  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=14720 Len=178 TSval=382190305 TSecr=3447220835 [TCP segment of a reassembled PDU]"
"216","8.602865","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=1 Ack=179 Win=131584 Len=0 TSval=3447220835 TSecr=382190305"
"217","8.605159","192.168.1.9","192.168.1.1","HTTP","87","HTTP/1.1 100  "
"218","8.605160","192.168.1.1","192.168.1.9","TCP","66","43945  >  8080 [ACK] Seq=179 Ack=18 Win=14720 Len=0 TSval=382190305 TSecr=3447220838"
"219","8.605614","192.168.1.9","192.168.1.1","TCP","70","[TCP ACKed unseen segment] 8080  >  43945 [ACK] Seq=18 Ack=1627 Win=130112 Len=0 TSval=3447220838 TSecr=382190305"
"220","8.605614","192.168.1.1","192.168.1.9","TCP","11650","43945  >  8080 [ACK] Seq=179 Ack=18 Win=14720 Len=11584 TSval=382190305 TSecr=3447220838 [TCP segment of a reassembled PDU]"
"221","8.605673","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=18 Ack=3075 Win=128640 Len=0 TSval=3447220838 TSecr=382190305"
"222","8.605673","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=18 Ack=4523 Win=129600 Len=0 TSval=3447220838 TSecr=382190305"
"223","8.605673","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=18 Ack=5971 Win=128128 Len=0 TSval=3447220838 TSecr=382190305"
"224","8.605673","192.168.1.9","192.168.1.1","TCP","70","[TCP Window Update] 8080  >  43945 [ACK] Seq=18 Ack=5971 Win=131072 Len=0 TSval=3447220838 TSecr=382190305"
"225","8.605673","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=18 Ack=7419 Win=129600 Len=0 TSval=3447220838 TSecr=382190305"
"226","8.605674","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=18 Ack=8867 Win=128128 Len=0 TSval=3447220838 TSecr=382190305"
"227","8.605674","192.168.1.9","192.168.1.1","TCP","70","[TCP Window Update] 8080  >  43945 [ACK] Seq=18 Ack=8867 Win=131072 Len=0 TSval=3447220838 TSecr=382190305"
"228","8.605674","192.168.1.1","192.168.1.9","TCP","1514","43945  >  8080 [ACK] Seq=11763 Ack=18 Win=14720 Len=1448 TSval=382190305 TSecr=3447220838 [TCP segment of a reassembled PDU]"
"229","8.606086","192.168.1.1","192.168.1.9","HTTP","1211","POST /inform HTTP/1.1  (application/x-binary)"
"230","8.606086","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=18 Ack=10315 Win=129600 Len=0 TSval=3447220838 TSecr=382190305"
"231","8.606086","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=18 Ack=11763 Win=128128 Len=0 TSval=3447220838 TSecr=382190305"
"232","8.606086","192.168.1.9","192.168.1.1","TCP","70","8080  >  43945 [ACK] Seq=18 Ack=13211 Win=126720 Len=0 TSval=3447220838 TSecr=382190305"
"233","8.606087","192.168.1.9","192.168.1.1","TCP","70","[TCP Window Update] 8080  >  43945 [ACK] Seq=18 Ack=13211 Win=131072 Len=0 TSval=3447220838 TSecr=382190305"
