"No.","Info","Time","Source","Destination","Protocol","Length"
"63","58486  >  443 [ACK] Seq=1096 Ack=560 Win=501 Len=0 TSval=123427515 TSecr=75226065","4.171850","192.168.1.81","3.33.190.236","TCP","70"
"64","Application Data","4.404195","192.168.1.172","157.240.241.55","TLSv1.2","525"
"65","Application Data","4.427036","157.240.241.55","192.168.1.172","TLSv1.2","145"
"66","Application Data","4.429716","192.168.1.172","157.240.241.55","TLSv1.2","902"
"67","Application Data","4.429718","192.168.1.172","157.240.241.55","TLSv1.2","92"
"68","443  >  60157 [ACK] Seq=92 Ack=1346 Win=3128 Len=0","4.433381","157.240.241.55","192.168.1.172","TCP","60"
"69","Application Data, Application Data","4.458890","157.240.241.55","192.168.1.172","TLSv1.2","2922"
"70","Application Data","4.458934","157.240.241.55","192.168.1.172","TLSv1.2","341"
"71","60157  >  443 [ACK] Seq=1346 Ack=3247 Win=512 Len=0","4.460886","192.168.1.172","157.240.241.55","TCP","64"
"72","51504  >  6666 Len=50","4.723925","192.168.1.172","230.0.0.1","UDP","96"
"73","51504  >  6666 Len=50","4.756955","192.168.1.172","230.0.0.1","UDP","92"
"74","8080  >  43578 [ACK] Seq=1 Ack=1 Win=2048 Len=0","4.902854","192.168.1.9","192.168.1.1","TCP","64"
"75","[TCP ACKed unseen segment] 43578  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381211939 TSecr=4270572850","4.902856","192.168.1.1","192.168.1.9","TCP","66"
"76","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question","5.156023","192.168.1.172","224.0.0.251","MDNS","87"
"77","Standard query response 0x0000 PTR SilentSiggo::ACICSMOHAM2._oculusal_sp._tcp.local SRV 0 0 49730 ACICSMOHAM2.local TXT A 192.168.1.172 NSEC ACICSMOHAM2.local","5.156542","192.168.1.172","224.0.0.251","MDNS","327"
"78","49154  >  6667 Len=188","5.169715","192.168.1.183","255.255.255.255","UDP","234"
"79","8080  >  43584 [FIN, ACK] Seq=1 Ack=1 Win=2048 Len=0 TSval=3146178378 TSecr=381211412","5.262278","192.168.1.9","192.168.1.1","TCP","70"
"80","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031","5.295536","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60"
"81","443  >  65051 [ACK] Seq=1 Ack=1 Win=484 Len=0 TSval=2811442114 TSecr=1800974478","5.296593","54.161.152.147","192.168.1.9","TCP","66"
"82","[TCP ACKed unseen segment] 65051  >  443 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=1800989586 TSecr=2811411871","5.296596","192.168.1.9","54.161.152.147","TCP","70"
"83","43584  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381211979 TSecr=3146178378","5.298045","192.168.1.1","192.168.1.9","TCP","66"
"84","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question","5.371411","192.168.1.172","224.0.0.251","MDNS","83"
"85","Standard query response 0x0000 PTR SilentSiggo::ACICSMOHAM2._oculusal_sp._tcp.local SRV 0 0 49730 ACICSMOHAM2.local TXT A 192.168.1.172 NSEC ACICSMOHAM2.local","5.371999","192.168.1.172","224.0.0.251","MDNS","323"
"86","49154  >  6667 Len=188","5.372502","192.168.1.183","255.255.255.255","UDP","230"
"87","80  >  55704 [ACK] Seq=1 Ack=1 Win=442 Len=0 TSval=4112533836 TSecr=2164751756","5.448212","18.197.213.150","192.168.1.9","TCP","66"
"88","[TCP ACKed unseen segment] 55704  >  80 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=2164766864 TSecr=4076208653","5.448214","192.168.1.9","18.197.213.150","TCP","70"
"89","Application Data","5.502251","192.168.1.48","162.159.61.4","TLSv1.2","109"
"90","Application Data","5.505877","162.159.61.4","192.168.1.48","TLSv1.2","105"
"91","55666  >  443 [ACK] Seq=40 Ack=40 Win=501 Len=0 TSval=2838516778 TSecr=2367984677","5.508944","192.168.1.48","162.159.61.4","TCP","70"
"92","8080  >  43577 [ACK] Seq=1 Ack=1 Win=2048 Len=0","5.533362","192.168.1.9","192.168.1.1","TCP","64"
"93","[TCP ACKed unseen segment] 43577  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381212002 TSecr=265126738","5.533364","192.168.1.1","192.168.1.9","TCP","66"
"94","51504  >  6666 Len=50","5.723947","192.168.1.172","230.0.0.1","UDP","96"
"95","51504  >  6666 Len=50","5.985862","192.168.1.172","230.0.0.1","UDP","92"
"96","Echo (ping) request  id=0x807d, seq=0/0, ttl=64 (reply in 97)","6.116208","192.168.1.108","192.168.1.1","ICMP","102"
"97","Echo (ping) reply    id=0x807d, seq=0/0, ttl=64 (request in 96)","6.116210","192.168.1.1","192.168.1.108","ICMP","98"
"98","58567  >  443 Len=131","6.474583","192.168.1.9","142.251.40.227","UDP","177"
"99","443  >  58567 Len=30","6.510147","142.251.40.227","192.168.1.9","UDP","72"
"100","58567  >  443 Len=33","6.525498","192.168.1.9","142.251.40.227","UDP","79"
"101","443  >  58567 Len=116","6.528666","142.251.40.227","192.168.1.9","UDP","158"
"102","443  >  58567 Len=23","6.528667","142.251.40.227","192.168.1.9","UDP","65"
"103","58567  >  443 Len=38","6.529076","192.168.1.9","142.251.40.227","UDP","84"
"104","58567  >  443 Len=33","6.539320","192.168.1.9","142.251.40.227","UDP","79"
"105","443  >  58567 Len=25","6.573914","142.251.40.227","192.168.1.9","UDP","67"
"106","51504  >  6666 Len=50","6.724673","192.168.1.172","230.0.0.1","UDP","96"
"107","Who has 192.168.1.156? Tell 192.168.1.216","6.771555","ASUSTekCOMPU_29:4c:fe","Broadcast","ARP","64"
"108","57171  >  443 Len=29","6.828699","192.168.1.9","142.251.32.110","UDP","75"
"109","443  >  57171 Len=26","6.834241","142.251.32.110","192.168.1.9","UDP","68"
"110","51504  >  6666 Len=50","6.907621","192.168.1.172","230.0.0.1","UDP","92"
"111","Who has 192.168.1.156? Tell 192.168.1.216","6.907625","ASUSTekCOMPU_29:4c:fe","Broadcast","ARP","60"
"112","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031","7.285669","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60"
"113","58567  >  443 Len=132","7.458812","192.168.1.9","142.251.40.227","UDP","178"
"114","443  >  58567 Len=30","7.494729","142.251.40.227","192.168.1.9","UDP","72"
"115","58567  >  443 Len=33","7.507939","192.168.1.9","142.251.40.227","UDP","79"
"116","443  >  58567 Len=116","7.513240","142.251.40.227","192.168.1.9","UDP","158"
"117","443  >  58567 Len=23","7.513242","142.251.40.227","192.168.1.9","UDP","65"
"118","58567  >  443 Len=38","7.513243","192.168.1.9","142.251.40.227","UDP","84"
"119","58567  >  443 Len=33","7.522985","192.168.1.9","142.251.40.227","UDP","79"
"120","Who has 192.168.1.207? Tell 192.168.1.81","7.527562","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"121","443  >  58567 Len=25","7.557707","142.251.40.227","192.168.1.9","UDP","67"
"122","51504  >  6666 Len=50","7.724880","192.168.1.172","230.0.0.1","UDP","96"
"123","Application Data","7.815430","192.168.1.172","162.254.193.102","TLSv1.2","117"
"124","Who has 192.168.1.207? Tell 192.168.1.81","7.829306","PCSSystemtec_45:5c:08","Broadcast","ARP","60"
"125","51504  >  6666 Len=50","7.829316","192.168.1.172","230.0.0.1","UDP","92"
"126","Msg format 1","7.830963","158.115.141.166","192.168.1.87","SIGCOMP","183"
"127","27030  >  50660 [ACK] Seq=1 Ack=60 Win=1022 Len=0","7.885933","162.254.193.102","192.168.1.172","TCP","60"
"128","8080  >  43583 [ACK] Seq=1 Ack=1 Win=2048 Len=0","7.903848","192.168.1.9","192.168.1.1","TCP","64"
"129","[TCP ACKed unseen segment] 43583  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381212239 TSecr=3475868857","7.903850","192.168.1.1","192.168.1.9","TCP","66"
"130","Msg format 1","7.915678","192.168.1.87","158.115.141.166","SIGCOMP","436"
"131","Who has 192.168.1.43? Tell 192.168.1.1","8.248045","Ubiquiti_48:1b:02","AmazonTechno_39:12:43","ARP","60"
"132","192.168.1.43 is at f0:f0:a4:39:12:43","8.249110","AmazonTechno_39:12:43","Ubiquiti_48:1b:02","ARP","64"
"133","8080  >  43576 [ACK] Seq=1 Ack=1 Win=2048 Len=0","8.300709","192.168.1.9","192.168.1.1","TCP","64"
"134","[TCP ACKed unseen segment] 43576  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381212279 TSecr=3133432493","8.300711","192.168.1.1","192.168.1.9","TCP","66"
"135","Who has 192.168.1.207? Tell 192.168.1.81","8.577501","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"136","51504  >  6666 Len=50","8.724991","192.168.1.172","230.0.0.1","UDP","96"
"137","Who has 192.168.1.207? Tell 192.168.1.81","8.750760","PCSSystemtec_45:5c:08","Broadcast","ARP","60"
"138","51504  >  6666 Len=50","8.750944","192.168.1.172","230.0.0.1","UDP","92"
"139","65047  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0","8.905322","192.168.1.9","13.226.34.109","TCP","64"
"140","65048  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0","8.905324","192.168.1.9","13.226.34.109","TCP","64"
"141","[TCP ACKed unseen segment] 443  >  65048 [ACK] Seq=1 Ack=2 Win=135 Len=0 TSval=1048141376 TSecr=2254333953","8.909059","13.226.34.109","192.168.1.9","TCP","66"
"142","[TCP ACKed unseen segment] 443  >  65047 [ACK] Seq=1 Ack=2 Win=133 Len=0 TSval=2755648803 TSecr=1287793857","8.909060","13.226.34.109","192.168.1.9","TCP","66"
"143","Application Data","9.136113","192.168.1.81","3.33.190.236","TLSv1.2","1165"
"144","Application Data","9.174004","3.33.190.236","192.168.1.81","TLSv1.2","625"
"145","58486  >  443 [ACK] Seq=2191 Ack=1119 Win=501 Len=0 TSval=123432519 TSecr=75231067","9.175150","192.168.1.81","3.33.190.236","TCP","70"
"146","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031","9.285832","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60"
"147","Application Data","9.462606","192.168.1.172","157.240.241.55","TLSv1.2","525"
"148","58567  >  443 Len=133","9.477654","192.168.1.9","142.251.40.227","UDP","179"
"149","Application Data","9.485828","157.240.241.55","192.168.1.172","TLSv1.2","145"
"150","Application Data","9.487970","192.168.1.172","157.240.241.55","TLSv1.2","902"
"151","Application Data","9.487972","192.168.1.172","157.240.241.55","TLSv1.2","92"
"152","443  >  60157 [ACK] Seq=3338 Ack=2691 Win=3139 Len=0","9.491533","157.240.241.55","192.168.1.172","TCP","60"
"153","443  >  58567 Len=30","9.513664","142.251.40.227","192.168.1.9","UDP","72"
"154","Application Data","9.516892","157.240.241.55","192.168.1.172","TLSv1.2","2814"
"155","Application Data","9.516957","157.240.241.55","192.168.1.172","TLSv1.2","161"
"156","Application Data","9.516957","157.240.241.55","192.168.1.172","TLSv1.2","341"
"157","60157  >  443 [ACK] Seq=2691 Ack=6492 Win=512 Len=0","9.520410","192.168.1.172","157.240.241.55","TCP","64"
"158","58567  >  443 Len=33","9.532390","192.168.1.9","142.251.40.227","UDP","79"
"159","443  >  58567 Len=116","9.532391","142.251.40.227","192.168.1.9","UDP","158"
"160","443  >  58567 Len=23","9.532392","142.251.40.227","192.168.1.9","UDP","65"
"161","58567  >  443 Len=38","9.532738","192.168.1.9","142.251.40.227","UDP","84"
"162","58567  >  443 Len=33","9.549606","192.168.1.9","142.251.40.227","UDP","79"
"163","443  >  58567 Len=25","9.578499","142.251.40.227","192.168.1.9","UDP","67"
"164","Who has 192.168.1.207? Tell 192.168.1.81","9.600695","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"165","Who has 192.168.1.207? Tell 192.168.1.81","9.672459","PCSSystemtec_45:5c:08","Broadcast","ARP","60"
"166","55662  >  5228 [ACK] Seq=1 Ack=1 Win=507 Len=1","9.701397","192.168.1.102","142.251.163.188","TCP","64"
"167","5228  >  55662 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2","9.711180","142.251.163.188","192.168.1.102","TCP","66"
"168","51504  >  6666 Len=50","9.725210","192.168.1.172","230.0.0.1","UDP","96"
"169","8080  >  43582 [ACK] Seq=1 Ack=1 Win=2048 Len=0","9.808810","192.168.1.9","192.168.1.1","TCP","64"
"170","[TCP ACKed unseen segment] 43582  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381212430 TSecr=1717514905","9.808812","192.168.1.1","192.168.1.9","TCP","66"
"171","51504  >  6666 Len=50","9.979721","192.168.1.172","230.0.0.1","UDP","92"
"172","49154  >  6667 Len=188","10.174003","192.168.1.183","255.255.255.255","UDP","234"
"173","49154  >  6667 Len=188","10.287160","192.168.1.183","255.255.255.255","UDP","230"
"174","ARP Announcement for 192.168.1.183","10.571926","Espressif_0a:94:2e","Broadcast","ARP","64"
"175","Application Data","10.582363","192.168.1.7","18.218.78.141","TLSv1.2","508"
"176","ARP Announcement for 192.168.1.183","10.593920","Espressif_0a:94:2e","Broadcast","ARP","42"
"177","Application Data","10.602690","18.218.78.141","192.168.1.7","TLSv1.2","105"
"178","55598  >  443 [ACK] Seq=439 Ack=40 Win=2668 Len=0 TSval=68779939 TSecr=418202704","10.602692","192.168.1.7","18.218.78.141","TCP","70"
"179","Who has 192.168.1.207? Tell 192.168.1.81","10.625453","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"180","Continuation Data","10.629024","52.23.140.126","192.168.1.81","SSL","98"
"181","43882  >  443 [ACK] Seq=1 Ack=33 Win=1178 Len=0 TSval=3374566891 TSecr=2353649392","10.670295","192.168.1.81","52.23.140.126","TCP","70"
"182","51504  >  6666 Len=50","10.725184","192.168.1.172","230.0.0.1","UDP","96"
"183","Standard query 0xd235 A trace.svc.ui.com","10.732176","192.168.1.211","192.168.1.1","DNS","80"
"184","Standard query response 0xd235 A trace.svc.ui.com A 0.0.0.0","10.734929","192.168.1.1","192.168.1.211","DNS","92"
"185","Who has 192.168.1.207? Tell 192.168.1.81","10.901099","PCSSystemtec_45:5c:08","Broadcast","ARP","60"
"186","51504  >  6666 Len=50","10.901377","192.168.1.172","230.0.0.1","UDP","92"
"187","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031","11.285831","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60"
"188","Application Data","11.505883","192.168.1.48","162.159.61.4","TLSv1.2","109"
"189","Application Data","11.509559","162.159.61.4","192.168.1.48","TLSv1.2","105"
"190","55666  >  443 [ACK] Seq=79 Ack=79 Win=501 Len=0 TSval=2838522782 TSecr=2367990680","11.512632","192.168.1.48","162.159.61.4","TCP","70"
"191","Who has 192.168.1.207? Tell 192.168.1.81","11.648761","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"192","Encrypted Alert","11.662925","192.168.1.81","44.194.254.66","TLSv1.2","101"
"193","443  >  41350 [FIN, ACK] Seq=1 Ack=32 Win=126 Len=0 TSval=2234595235 TSecr=4097839367","11.673088","44.194.254.66","192.168.1.81","TCP","66"
"194","41350  >  443 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0 TSval=4097839378 TSecr=2234595235","11.673833","192.168.1.81","44.194.254.66","TCP","70"
"195","443  >  41350 [ACK] Seq=2 Ack=33 Win=126 Len=0 TSval=2234595246 TSecr=4097839378","11.684020","44.194.254.66","192.168.1.81","TCP","66"
"196","Who has 192.168.1.156? Tell 192.168.1.217","11.694836","Dell_ca:76:8b","Broadcast","ARP","64"
"197","51504  >  6666 Len=50","11.725807","192.168.1.172","230.0.0.1","UDP","96"
"198","8080  >  43575 [ACK] Seq=1 Ack=1 Win=2048 Len=0","11.806527","192.168.1.9","192.168.1.1","TCP","64"
"199","[TCP ACKed unseen segment] 43575  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381212629 TSecr=2698931695","11.806529","192.168.1.1","192.168.1.9","TCP","66"
"200","Who has 192.168.1.207? Tell 192.168.1.81","11.823375","PCSSystemtec_45:5c:08","Broadcast","ARP","60"
"201","Who has 192.168.1.156? Tell 192.168.1.217","11.823591","Dell_ca:76:8b","Broadcast","ARP","60"
"202","51504  >  6666 Len=50","11.823893","192.168.1.172","230.0.0.1","UDP","92"
"203","64557  >  5228 [ACK] Seq=1 Ack=1 Win=2048 Len=0","12.306741","192.168.1.9","172.253.63.188","TCP","64"
"204","[TCP ACKed unseen segment] 5228  >  64557 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=439019827 TSecr=1231152694","12.315759","172.253.63.188","192.168.1.9","TCP","66"
"205","Who has 192.168.1.207? Tell 192.168.1.81","12.672843","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"206","51504  >  6666 Len=50","12.726207","192.168.1.172","230.0.0.1","UDP","96"
"207","Who has 192.168.1.207? Tell 192.168.1.81","12.744415","PCSSystemtec_45:5c:08","Broadcast","ARP","60"
"208","51504  >  6666 Len=50","12.744756","192.168.1.172","230.0.0.1","UDP","92"
"209","58567  >  443 Len=134","12.971933","192.168.1.9","142.251.40.227","UDP","180"
"210","443  >  58567 Len=30","13.007423","142.251.40.227","192.168.1.9","UDP","72"
"211","58567  >  443 Len=33","13.020497","192.168.1.9","142.251.40.227","UDP","79"
"212","443  >  58567 Len=117","13.025538","142.251.40.227","192.168.1.9","UDP","159"
"213","443  >  58567 Len=23","13.025540","142.251.40.227","192.168.1.9","UDP","65"
"214","58567  >  443 Len=38","13.025621","192.168.1.9","142.251.40.227","UDP","84"
"215","58567  >  443 Len=33","13.046187","192.168.1.9","142.251.40.227","UDP","79"
"216","443  >  58567 Len=25","13.069899","142.251.40.227","192.168.1.9","UDP","67"
"217","59280  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM TSval=953029003 TSecr=0 WS=128","13.094979","192.168.2.4","185.125.190.48","TCP","78"
"218","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question","13.124258","192.168.1.172","224.0.0.251","MDNS","87"
"219","Standard query response 0x0000 PTR SilentSiggo::ACICSMOHAM2._oculusal_sp._tcp.local SRV 0 0 49730 ACICSMOHAM2.local TXT A 192.168.1.172 NSEC ACICSMOHAM2.local","13.124664","192.168.1.172","224.0.0.251","MDNS","327"
"220","80  >  59280 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1380 SACK_PERM TSval=1904582924 TSecr=953029003 WS=128","13.166203","185.125.190.48","192.168.2.4","TCP","74"
"221","[TCP Keep-Alive] 443  >  55598 [ACK] Seq=39 Ack=439 Win=27 Len=0 TSval=418205280 TSecr=68779939","13.179640","18.218.78.141","192.168.1.7","TCP","66"
"222","[TCP Keep-Alive ACK] 55598  >  443 [ACK] Seq=439 Ack=40 Win=2668 Len=0 TSval=68780196 TSecr=418202704","13.179642","192.168.1.7","18.218.78.141","TCP","70"
"223","Msg format 1[Malformed Packet]","13.283703","192.168.1.87","158.115.141.166","SIGCOMP","158"
"224","Msg format 1[Malformed Packet]","13.284208","192.168.1.87","158.115.133.213","SIGCOMP","158"
"225","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031","13.285963","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60"
"226","Msg format 1[Malformed Packet]","13.302296","158.115.141.166","192.168.1.87","SIGCOMP","88"
"227","59280  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=953029063 TSecr=1904582924","13.338215","192.168.2.4","185.125.190.48","TCP","70"
"228","GET / HTTP/1.1 ","13.338217","192.168.2.4","185.125.190.48","HTTP","157"
"229","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question","13.358974","192.168.1.172","224.0.0.251","MDNS","83"
"230","Standard query response 0x0000 PTR SilentSiggo::ACICSMOHAM2._oculusal_sp._tcp.local SRV 0 0 49730 ACICSMOHAM2.local TXT A 192.168.1.172 NSEC ACICSMOHAM2.local","13.359446","192.168.1.172","224.0.0.251","MDNS","323"
"231","Msg format 1[Malformed Packet]","13.375689","158.115.133.213","192.168.1.87","SIGCOMP","88"
"232","HTTP/1.1 204 No Content ","13.414145","185.125.190.48","192.168.2.4","HTTP","255"
"233","80  >  59280 [FIN, ACK] Seq=190 Ack=88 Win=65152 Len=0 TSval=1904583171 TSecr=953029063","13.414146","185.125.190.48","192.168.2.4","TCP","66"
"234","59280  >  80 [ACK] Seq=88 Ack=190 Win=30336 Len=0 TSval=953029115 TSecr=1904583171","13.542918","192.168.2.4","185.125.190.48","TCP","70"
